,metadata_name,metadata_activityType,metadata_climbCategory,metadata_verifiedStatus,measurements_distance,measurements_avgGrade,measurements_elevHigh,measurements_elevLow,elevationChart_url,totalAthletes,totalEfforts,athletePrEffort_timing_elapsedTime,athletePrEffort_activity_id,leaderboards_leaderboardEfforts_athlete_id,leaderboards_leaderboardEfforts_athlete_firstName,leaderboards_leaderboardEfforts_athlete_lastName,leaderboards_leaderboardEfforts_activity_id,leaderboards_leaderboardEfforts_timing_elapsedTime,athletePrEffort,distance_miles,cr_speed
30,Loop/Bronzeville via State ,Ride,,,8135.8798828125,0.0022735800594091415,182.8159942626953,177.63299560546875,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/GFIOKIGOQ6KSEEVQFTSV2U64TIZMSPJXNUJLAFTYRWBFMUAKDSF2UQVLAMW7EPN5HGMGQRGB,31,80,,,19899356,Aaron,Zheng,6377788577,896,,5.055413947837312,20.31193104041777
31,26th to 35th - MLK Speedway,Ride,,,1635.0999755859375,0.08562169969081879,183.1999969482422,181.0,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/XSXX3GLS2RIB5HOEMOQNB27ZSHH6Y6OAFLD2SJ3V24UX3E6G2LYR2D7ESUADBSEIDM2EIRNUO4======,1482,9353,,,13997276,John,Biernat,6003212019,125,,1.0160065465258663,29.26098853994495
32,Amazon Riverwalk WB,Ride,,,679.4000244140625,-0.11775100231170654,171.1999969482422,169.39999389648438,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TAXSWGJHBZEZ4V23F2J542R2FSVBEYRR2XH6AXVT55RYX5TFD72X5VVSXLGHA545SLBB5PLH,43,236,,,90183586,Matthew,Scott,11929663121,73,,0.4221606524501116,20.818881490690433
33,Amazon Riverwalk EB,Ride,,,694.7999877929688,0.0,197.0,195.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/K6PUB34TB3STN2JUIZQ2GFNPIO2OC53S364667S7GC7LYCW3GM2TI3WRSM6UM7QDIQW6VKNIEQ======,38,273,,,9933896,Sam,Díaz,11954823999,76,,0.43172976983916933,20.450357518697498
34,Cermak from ashland to damen,Ride,,,702.9000244140625,0.18494799733161926,181.39999389648438,180.10000610351562,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/P6AV7SDZ7QNGY6AHQGJWCQQ55NA2AYDNZT2ILXW7I55W3PAMLLXWBDUU6THVBDXKOX537SM7,592,2296,,,877811,Jesus,Arellanes,798162385,58,,0.43676291176138204,27.10942210932716
35,18th St. Bridge - W to E,Ride,,,415.3999938964844,0.04814640060067177,180.0,175.5,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/DFKAQWAA6M5HIES3FWRVX2TEUOWKDDF5TG6B2WG5EV32PVYJKOKTQDDYCL77R6RLSPET2LP2,3737,31242,54.0,12171900275,126223342,Daniel,Heffernan,11982648951,25,,0.2581182310117715,37.16902526569509
36,Roosevelt to Illinois Tech,Ride,,,3251.60009765625,0.030754100531339645,182.8000030517578,176.6999969482422,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/R2XD6A5XORNPPIWPOMFFTW3O2QPRFYYFSKOKGF6ADDE5NQ2MVEXEZVEZGATMTPKSUTX7N75P,480,1003,,,2235702,Derek,Burge-Beckley,285658491,320,,2.020455651171443,22.730126075678736
37,FTP Test South,Ride,,,7790.7998046875,-0.08984959870576859,214.8000030517578,207.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/R22TXE2FOK4YAXPNARUVUGBMXIWY52VNAPIYNS7H2MBVSA54ROZ7NW73XPYGUKI3BJQI7G5LGI======,14207,245305,755.0,12082050571,2077685,Toby,Joy,2305575201,568,,4.840990595329452,30.682334759130327
38,Roosevelt-Clintogden,Ride,,,3721.800048828125,-0.04567680135369301,182.39999389648438,178.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/C54M2AQQYXQF7YTS46B57LJY7FODG2YXTVTPNS2O57AH7R4WPLAE77KULFLTDWDZOID6QPUR,873,4843,478.0,12113354481,36569763,Guillermo,Ibarra,9122583046,315,,2.3126250816037164,26.4300009326139
39,Midway Hustle'r,Ride,,,533.280029296875,-0.412541002035141,184.0,181.8000030517578,https://d3o5xota0a1fcr.cloudfront.net/v6/charts/TTYRV6WLU22VLVZ7NFZWTABN34CEHII7467TBDEZMENBCERKHMUHR5RIVA672DMT44JHGDKA5Y======,2357,26122,62.0,12113354481,389501,Peter,Howland,7460148,36,,0.33136567120488836,33.136567120488834
